symbol,as_of_date,available_date,shares_outstanding,promoter_holding_pct,public_holding_pct,source,filing_id
ADANIENT,2026-03-31,2026-06-30,1292652291,74.67,25.33,NSE_SHAREHOLDING_XBRL,SHP_1686595_30062026042134
ADANIENT,2026-06-30,2026-07-10,1301756486,74.84,25.16,NSE_SHAREHOLDING_XBRL,SHP_1690795_10072026081131
ADANIENT,2026-07-07,2026-07-16,1353667575,71.97,28.03,NSE_SHAREHOLDING_XBRL,SHP_1694672_16072026082530
ADANIGREEN,2026-03-31,2026-04-03,1647279571,62.43,37.57,NSE_SHAREHOLDING_XBRL,SHP_1645769_03042026035429
ADANIGREEN,2026-06-30,2026-07-08,1647279635,62.43,37.57,NSE_SHAREHOLDING_XBRL,SHP_1689243_08072026033126
ADANIPORTS,2026-03-31,2026-04-10,2304022696,68.02,31.98,NSE_SHAREHOLDING_XBRL,SHP_1648459_10042026113833
ADANIPORTS,2026-06-30,2026-07-10,2304009652,66.03,33.97,NSE_SHAREHOLDING_XBRL,SHP_1690812_10072026084030
ADANIPOWER,2026-03-31,2026-04-10,19284454156,74.96,25.04,NSE_SHAREHOLDING_XBRL,SHP_1648849_10042026050852
ADANIPOWER,2026-06-30,2026-07-05,19284454209,74.96,25.04,NSE_SHAREHOLDING_XBRL,SHP_1688309_05072026044522
ADFFOODS,2026-03-31,2026-04-13,109877014,36.13,63.87,NSE_SHAREHOLDING_XBRL,SHP_1649756_13042026032113
ADFFOODS,2026-06-30,2026-07-20,109877014,36.13,63.87,NSE_SHAREHOLDING_XBRL,SHP_1696471_20072026115449
ADL,2026-03-31,2026-04-21,5566583,72.96,27.04,NSE_SHAREHOLDING_XBRL,SHP_1655968_21042026012911
ADL,2026-06-30,2026-07-21,5566583,72.96,27.04,NSE_SHAREHOLDING_XBRL,SHP_1697902_21072026124750
ADOR,2026-03-31,2026-04-20,17401607,53.76,46.24,NSE_SHAREHOLDING_XBRL,SHP_1655628_20042026091609
ADOR,2026-06-30,2026-07-17,17402148,53.76,46.24,NSE_SHAREHOLDING_XBRL,SHP_1695402_17072026051420
ADROITINFO,2026-03-31,2026-04-20,57275611,38.28,61.72,NSE_SHAREHOLDING_XBRL,SHP_1655515_20042026072045
ADROITINFO,2026-06-30,2026-07-21,54623522,42.99,57.01,NSE_SHAREHOLDING_XBRL,SHP_1697823_21072026120542
ADSL,2026-03-31,2026-04-17,56514196,51.07,48.93,NSE_SHAREHOLDING_XBRL,SHP_1653693_17042026073617
ADSL,2026-06-30,2026-07-17,56569581,51.02,48.98,NSE_SHAREHOLDING_XBRL,SHP_1695688_17072026071719
ADVAIT,2026-03-31,2026-04-18,10936645,66.8,33.2,NSE_SHAREHOLDING_XBRL,SHP_1654398_18042026075225
ADVAIT,2026-06-30,2026-07-20,10982680,66.52,33.48,NSE_SHAREHOLDING_XBRL,SHP_1696392_20072026103302
ADVANCE,2026-03-31,2026-04-14,64286736,69.89,30.11,NSE_SHAREHOLDING_XBRL,SHP_1650657_14042026042239
ADVANCE,2026-06-30,2026-07-13,64286736,69.89,30.11,NSE_SHAREHOLDING_XBRL,SHP_1691130_13072026105328
ADVANIHOTR,2026-03-31,2026-04-20,92430257,50.25,49.75,NSE_SHAREHOLDING_XBRL,SHP_1654808_20042026024009
ADVANIHOTR,2026-06-30,2026-07-20,92430257,50.25,49.75,NSE_SHAREHOLDING_XBRL,SHP_1696969_20072026044853
ADVENTHTL,2026-03-31,2026-04-21,53944366,47.69,52.31,NSE_SHAREHOLDING_XBRL,SHP_1656325_21042026043832
ADVENTHTL,2026-06-30,2026-07-21,53944366,47.69,52.31,NSE_SHAREHOLDING_XBRL,SHP_1698738_21072026070246
ADVENZYMES,2026-03-31,2026-04-14,111929115,43.26,56.74,NSE_SHAREHOLDING_XBRL,SHP_1650630_14042026040002
ADVENZYMES,2026-06-30,2026-07-18,111978515,43.24,56.76,NSE_SHAREHOLDING_XBRL,SHP_1696201_18072026051111
AEGISLOG,2026-03-31,2026-04-14,350989114,58.1,41.9,NSE_SHAREHOLDING_XBRL,SHP_1650289_14042026103408
AEGISLOG,2026-06-30,2026-07-21,350989114,58.1,41.9,NSE_SHAREHOLDING_XBRL,SHP_1697751_21072026110533
AEGISVOPAK,2026-03-31,2026-04-14,1108047805,86.93,13.07,NSE_SHAREHOLDING_XBRL,SHP_1650287_14042026102620
AEGISVOPAK,2026-06-30,2026-07-21,1108047805,86.93,13.07,NSE_SHAREHOLDING_XBRL,SHP_1697778_21072026112645
AEPL,2026-03-31,2026-04-15,251042676,72.45,27.55,NSE_SHAREHOLDING_XBRL,SHP_1651409_15042026043242
AEPL,2026-06-30,2026-07-14,251042676,72.45,27.55,NSE_SHAREHOLDING_XBRL,SHP_1692262_14072026041306
AEQUS,2026-03-31,2026-04-17,670629350,59.08,38.57,NSE_SHAREHOLDING_XBRL,SHP_1653226_17042026042627
AEQUS,2026-06-30,2026-07-16,670642782,59.09,38.62,NSE_SHAREHOLDING_XBRL,SHP_1694435_16072026055325
AEROENTER,2026-03-31,2026-04-15,113074239,51.59,48.41,NSE_SHAREHOLDING_XBRL,SHP_1651679_15042026064937
AEROENTER,2026-06-30,2026-07-20,113159656,52.3,47.7,NSE_SHAREHOLDING_XBRL,SHP_1697152_20072026054152
AEROFLEX,2026-03-31,2026-04-08,132330324,65.47,34.53,NSE_SHAREHOLDING_XBRL,SHP_1647045_08042026095320
AEROFLEX,2026-06-30,2026-07-16,132330324,65.47,34.53,NSE_SHAREHOLDING_XBRL,SHP_1694495_16072026062122
AERONEU,2026-03-31,2026-04-08,25795567,60.46,39.54,NSE_SHAREHOLDING_XBRL,SHP_1647242_08042026024043
AERONEU,2026-06-30,2026-07-20,25795567,60.46,39.54,NSE_SHAREHOLDING_XBRL,SHP_1696425_20072026112359
AETHER,2026-03-31,2026-04-13,132671505,74.95,25.05,NSE_SHAREHOLDING_XBRL,SHP_1649665_13042026020159
AETHER,2026-06-30,2026-07-13,132706917,74.93,25.07,NSE_SHAREHOLDING_XBRL,SHP_1691554_13072026051246
AFCONS,2026-03-31,2026-04-20,367762798,50.17,49.83,NSE_SHAREHOLDING_XBRL,SHP_1654683_20042026125127
AFCONS,2026-06-30,2026-07-21,367762798,50.17,49.83,NSE_SHAREHOLDING_XBRL,SHP_1698053_21072026022729
AFFLE,2026-03-31,2026-04-10,140759614,54.92,44.97,NSE_SHAREHOLDING_XBRL,SHP_1648441_10042026110502
AFFLE,2026-06-30,2026-07-14,140785249,54.91,44.97,NSE_SHAREHOLDING_XBRL,SHP_1692195_14072026033428
AFFORDABLE,2026-03-31,2026-04-07,11246182,43.64,56.36,NSE_SHAREHOLDING_XBRL,SHP_1646675_07042026034528
AFFORDABLE,2026-04-14,2026-04-24,11851809,41.41,58.59,NSE_SHAREHOLDING_XBRL,SHP_1658749_24042026085715
AFFORDABLE,2026-06-30,2026-08-07,11851809,41.41,58.59,NSE_SHAREHOLDING_XBRL,SHP_1706698_01082026081510
AFIL,2026-03-31,2026-04-18,426757931,39.53,60.47,NSE_SHAREHOLDING_XBRL,SHP_1653878_18042026110507
AFIL,2026-06-29,2026-07-08,436703934,38.13,61.87,NSE_SHAREHOLDING_XBRL,SHP_1689305_08072026043923
AFIL,2026-06-30,2026-07-18,426743234,39.02,60.98,NSE_SHAREHOLDING_XBRL,SHP_1695856_18072026103033
AFSL,2026-03-31,2026-04-20,50658625,71.36,28.64,NSE_SHAREHOLDING_XBRL,SHP_1655480_20042026070441
AFSL,2026-06-30,2026-07-21,50836725,71.11,28.89,NSE_SHAREHOLDING_XBRL,SHP_1698578_21072026060127
AGARIND,2026-03-31,2026-04-09,14957052,57.2,42.8,NSE_SHAREHOLDING_XBRL,SHP_1648078_09042026044349
AGARIND,2026-06-30,2026-07-11,14957052,57.2,42.8,NSE_SHAREHOLDING_XBRL,SHP_1690942_11072026021602
AGARWALEYE,2026-03-31,2026-04-13,316761799,32.36,67.64,NSE_SHAREHOLDING_XBRL,SHP_1649997_13042026052637
AGARWALEYE,2026-06-30,2026-07-07,316957693,32.34,67.66,NSE_SHAREHOLDING_XBRL,SHP_1688740_07072026024339
AGI,2026-03-31,2026-04-21,64700810,60.39,39.61,NSE_SHAREHOLDING_XBRL,SHP_1656194_21042026034843
AGI,2026-06-30,2026-07-14,64700810,60.39,39.61,NSE_SHAREHOLDING_XBRL,SHP_1692136_14072026025953
AGIIL,2026-03-31,2026-04-17,125002244,71.29,28.71,NSE_SHAREHOLDING_XBRL,SHP_1653146_17042026035449
AGIIL,2026-06-30,2026-07-16,125002244,71.29,28.71,NSE_SHAREHOLDING_XBRL,SHP_1693777_16072026110159
AGL,2026-07-02,2026-07-10,982856487,63.28,36.72,NSE_SHAREHOLDING_XBRL,SHP_1689026_07072026073216
AGRITECH,2026-03-31,2026-04-21,5940087,30.9,69.1,NSE_SHAREHOLDING_XBRL,SHP_1655772_21042026111709
AGRITECH,2026-06-30,2026-07-21,5940087,30.9,69.1,NSE_SHAREHOLDING_XBRL,SHP_1698417_21072026050806
AGROPHOS,2026-03-31,2026-04-08,20273494,54.27,45.73,NSE_SHAREHOLDING_XBRL,SHP_1647550_08042026061916
AGROPHOS,2026-06-30,2026-07-11,20273494,54.27,45.73,NSE_SHAREHOLDING_XBRL,SHP_1691021_11072026043653
AGSTRA,2025-09-30,2026-04-06,128414400,26.48,73.27,NSE_SHAREHOLDING_XBRL,SHP_1646300_06042026052822
AGSTRA,2025-12-31,2026-04-07,128414400,26.48,73.27,NSE_SHAREHOLDING_XBRL,SHP_1646563_07042026123423
AGSTRA,2026-03-31,2026-04-20,128414400,26.48,73.27,NSE_SHAREHOLDING_XBRL,SHP_1654636_20042026122208
AHCL,2026-03-31,2026-04-11,53151101,52.68,47.32,NSE_SHAREHOLDING_XBRL,SHP_1649268_11042026120011
AHCL,2026-06-30,2026-08-07,531511010,52.68,47.32,NSE_SHAREHOLDING_XBRL,SHP_1709572_07082026010901
AHLADA,2026-03-31,2026-04-21,12921909,49.3,50.7,NSE_SHAREHOLDING_XBRL,SHP_1656089_21042026024706
